subject,experiment,session
LTP079,ltpFR,13
LTP084,ltpFR,3
LTP105,ltpFR,1
LTP105,ltpFR,10
LTP105,ltpFR,11
LTP105,ltpFR,12
LTP105,ltpFR,17
LTP105,ltpFR,19
LTP105,ltpFR,4
LTP105,ltpFR,5
LTP105,ltpFR,6
LTP105,ltpFR,9
LTP244,ltpFR,18
LTP244,ltpFR,19
LTP247,ltpFR,0
LTP247,ltpFR,14
LTP247,ltpFR,19
LTP251,ltpFR,13
LTP252,ltpFR,14
LTP252,ltpFR,17
LTP253,ltpFR,3
LTP254,ltpFR,13
LTP254,ltpFR,14
LTP254,ltpFR,15
LTP254,ltpFR,16
LTP254,ltpFR,2
LTP256,ltpFR,8
LTP258,ltpFR,13
LTP258,ltpFR,2
LTP260,ltpFR,2
LTP261,ltpFR,1
LTP261,ltpFR,10
LTP261,ltpFR,11
LTP261,ltpFR,15
LTP261,ltpFR,16
LTP261,ltpFR,17
LTP261,ltpFR,4
LTP261,ltpFR,6
LTP261,ltpFR,8
LTP263,ltpFR,1
LTP263,ltpFR,3
LTP263,ltpFR,6
LTP265,ltpFR,6
LTP265,ltpFR,8
LTP290,ltpFR,18
LTP297,ltpFR2,3
LTP298,ltpFR2,9
LTP299,ltpFR2,17
LTP303,ltpFR2,19
LTP304,ltpFR2,3
LTP312,ltpFR2,14
LTP314,ltpFR2,7
LTP316,ltpFR2,14
LTP319,ltpFR2,0
LTP319,ltpFR2,10
LTP319,ltpFR2,11
LTP322,ltpFR2,1
LTP324,ltpFR2,22
LTP326,ltpFR2,2
LTP326,ltpFR2,3
LTP327,ltpFR2,22
LTP328,ltpFR2,18
LTP329,ltpFR2,15
LTP332,ltpFR,3
LTP336,ltpFR,3
LTP338,ltpFR,2
LTP338,ltpFR,3
LTP338,ltpFR,4
LTP338,ltpFR2,22
LTP341,ltpFR2,15
LTP344,ltpFR2,9
LTP353,ltpFR2,1
LTP355,ltpFR2,0
LTP364,ltpFR2,8
LTP365,ltpFR2,23
LTP369,ltpFR2,20
LTP384,ltpFR2,2
LTP386,ltpFR2,13
LTP400,VFFR,5
LTP416,VFFR,5
LTP431,VFFR,5
